Weather Station Hamburg-Fuhlsbüttel                                               
YYYYMMDD QN     TG     TN     TM     TX    RFM     FM     FX     SO     NM     RR     PM
----- -------- -- ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
20171116  1    7.2    7.7    8.6    9.2   93.4    3.0   10.1    0.0    7.9    0.9 1020.1
20171115  1    4.4    6.6    8.6   10.3   98.8    2.0    7.2    0.0    7.4    0.6 1021.7
20171114  1   -3.7   -1.7    4.4    7.8   95.8    3.0   11.3    0.0    6.6    1.6 1017.9
20171113  1   -3.9   -1.6    3.0    8.6   89.3    2.0    7.4    7.8    4.0    0.0 1011.6
20171112  1    0.3    2.4    4.1    6.1   91.9    2.0    7.0    0.6    6.0    0.0  999.6
20171111  1   -0.4    2.4    4.4    7.2   92.8    3.0   12.0    0.9    5.5    9.1 1002.5
20171110  1    3.2    4.3    7.3    9.5   90.4    3.0   17.8    0.1    7.0   13.2 1006.6
20171109  1    6.2    6.5    7.5    9.2   89.2    3.0   10.3    0.0    7.8    0.8 1017.6
20171108  1    4.0    4.1    6.9   10.0   88.8    2.0    6.7    0.5    7.4    0.0 1019.5
20171107  1   -3.1    0.1    3.0    5.4   97.0    2.0    6.7    0.3    4.5    0.0 1023.3
20171106  1   -2.9    0.5    4.6   11.1   91.1    1.0    9.4    6.5    1.1    0.2 1019.5
20171105  1    2.7    4.9    9.6   13.0   90.0    3.0   12.2    0.0    6.4    3.6 1004.7
20171104  1    2.1    5.4    8.9   12.9   90.0    3.0   12.3    1.8    5.5    0.0 1006.0
20171103  1    4.8    5.7    8.6   10.4   91.4    2.0    8.7    0.0    7.0    0.0 1013.4
20171102  1    3.8    7.4    9.7   13.0   90.3    3.0   10.8    2.1    5.2    0.3 1008.6
20171101  1    8.7    9.1   11.2   12.9   95.1    3.0    9.8    0.0    8.0   18.3 1014.1
20171031  1    3.9    5.9    8.0    9.3   91.7    3.0    9.3    0.0    7.6    2.5 1020.1
20171030  1   -0.9    2.8    6.7   10.1   71.6    3.0   12.2    7.6    2.8    0.0 1018.9
20171029  1    2.2    6.1    9.4   11.8   68.7    5.0   28.3    6.3    3.1    0.8 1001.1
20171028  1    8.4    9.2   10.8   12.5   88.0    4.0   17.3    0.0    7.6    8.4 1007.2
20171027  1    7.2    9.5   11.0   13.6   82.2    3.0   12.5    5.7    4.8    0.8 1018.3
20171026  1    8.0    9.8   11.8   14.4   88.0    3.0    9.8    0.2    7.0    1.1 1018.2
20171025  1    8.2   10.1   14.0   15.8   89.5    3.0   16.1    0.5    6.7    0.3 1014.9
20171024  1    8.5    9.7   12.2   15.7   96.8    3.0   11.5    0.0    7.8    4.3 1017.0
20171023  1    8.7    9.4   10.5   11.9   96.3    3.0    8.1    0.0    7.7    5.0 1012.2
20171022  1    5.7    7.8    9.9   12.0   92.5    3.0   13.2    2.1    4.6    6.5 1007.3
20171021  1    7.0   10.1   12.1   13.2   89.8    3.0    9.4    0.0    7.4    1.3 1009.6
20171020  1    9.8   11.5   12.8   15.1   92.0    3.0    9.8    0.2    7.2    3.8 1008.8
20171019  1    7.2    9.2   13.2   17.4   90.0    2.0    7.0    3.5    6.3    0.0 1011.4
20171018  1    4.2    7.3   11.5   15.7   88.7    2.0    4.6    3.0    4.8    0.0 1013.7
20171017  3    7.2    9.5   14.0   16.5   81.4    3.0   10.6    3.1    6.3    0.0 1016.9
20171016  3    7.3   11.9   15.8   21.1   86.3    2.0    6.7    7.9    0.8    0.0 1018.3
20171015  3    7.3   10.4   15.6   21.9   86.3    2.0    7.2    7.4    1.8    0.0 1021.1
20171014  3   12.5   13.7   15.8   16.4   89.9    3.0    9.8    0.0    7.4    0.0 1021.7
20171013  3    4.5    7.5   12.8   16.3   86.0    3.0    8.2    4.5    6.5    0.0 1020.3
20171012  3    7.8   10.0   13.0   15.1   76.4    4.0   18.7    4.1    5.4    0.0 1012.1
20171011  3   12.0   13.0   14.1   15.8   87.7    4.0   12.9    0.5    7.3    1.3 1009.3
20171010  3    9.5    9.8   12.7   15.3   93.8    3.0    9.9    0.4    7.8    2.1 1009.9
20171009  3   -1.0    1.8    8.4   13.7   94.0    2.0    8.7    1.8    5.6    3.2 1014.6
20171008  3    0.0    2.9   10.0   13.9   81.2    3.0   11.3    9.3    3.0    0.0 1010.8
20171007  3    8.7    9.7   10.8   12.5   94.6    4.0   14.9    0.0    7.6   17.1 1008.1
20171006  3    7.9    9.0   11.4   15.0   85.6    3.0   12.9    5.6    5.2    5.2 1008.8
20171005  3    8.7    8.9   10.7   14.2   91.0    4.0   28.1    1.9    7.3   23.4 1000.2
20171004  3    9.6   10.6   11.7   13.1   82.4    4.0   15.3    0.2    7.8   11.0 1011.9
20171003  3    9.2   10.5   12.1   15.7   88.0    3.0   16.5    4.3    6.3   11.2 1010.8
20171002  3   10.3   11.2   13.6   17.5   83.0    4.0   14.9    0.4    7.4    7.1 1007.5
20171001  3    9.3   10.8   13.5   17.5   80.1    3.0    9.1    8.3    4.0    4.6 1017.4
20170930  3   12.4   12.4   14.6   16.6   89.2    3.0    9.8    0.0    7.6    4.9 1014.3
20170929  3   13.5   14.2   17.1   21.2   84.8    3.0   10.5    6.1    6.3    0.9 1020.0
20170928  3    9.9   12.3   14.2   15.7   91.9    2.0    9.6    0.1    6.9    0.3 1023.3
20170927  3   10.7   12.6   15.1   18.7   87.7    2.0    9.9    2.2    6.9    0.2 1024.3
20170926  3   10.8   11.6   14.6   17.3   87.1    3.0    8.4    0.3    6.8    0.0 1023.7
20170925  3   12.8   13.4   15.4   19.3   86.8    3.0   10.1    2.0    6.7    0.1 1021.9
20170924  3   10.2   11.3   14.3   18.4   92.3    2.0    7.7    1.8    6.8    0.0 1022.1
